Name,Email,Financial Status,Paid at,Fulfillment Status,Fulfilled at,Accepts Marketing,Currency,Subtotal,Shipping,Taxes,Total,Discount Code,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem name,Lineitem price,Lineitem compare at price,Lineitem sku,Lineitem requires shipping,Lineitem taxable,Lineitem fulfillment status,Billing Name,Billing Street,Billing Address1,Billing Address2,Billing Company,Billing City,Billing Zip,Billing Province,Billing Country,Billing Phone,Shipping Name,Shipping Street,Shipping Address1,Shipping Address2,Shipping Company,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Shipping Phone,Notes,Note Attributes,Cancelled at,Payment Method,Payment Reference,Refunded Amount,Vendor,Outstanding Balance,Employee,Location,Device ID,Id,Tags,Risk Level,Source,Lineitem discount,Tax 1 Name,Tax 1 Value,Tax 2 Name,Tax 2 Value,Tax 3 Name,Tax 3 Value,Tax 4 Name,Tax 4 Value,Tax 5 Name,Tax 5 Value,Phone,Receipt Number,Duties,Billing Province Name,Shipping Province Name,Payment ID,Payment Terms Name,Next Payment Due At,Payment References
#1015,egnition_sample_20250421145354_2@egnition.com,,,,,,,,,,,,,,2025-04-21 10:27:28 +0530,1,TIMBERLAND | MENS 6 INCH PREMIUM BOOT - 8 / yellow,0.10,"",TM-01-8-yellow,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,TIMBERLAND,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1015,egnition_sample_20250421145354_2@egnition.com,,,,,,,,,,,,,,2025-04-21 10:27:28 +0530,1,PALLADIUM | PALLATECH HI TX | CHEVRON - 9 / red,0.10,"","PAL-01
-9-red",true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,PALLADIUM,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1014,egnition_sample_20250421145354_2@egnition.com,refunded,,unfulfilled,,no,INR,0.20,0.00,0.00,0.20,"",0.00,"",2025-04-21 10:27:22 +0530,1,DR MARTENS | 1461 DMC 3-EYE SHOE | BLACK SMOOTH - 7 / black,0.10,,DM-01-7-black,true,true,pending,Colt Moody,"P.O. Box 726, 7322 Tellus Avenue","P.O. Box 726, 7322 Tellus Avenue",,,Houston,'923619,,CD,+39471628910,Colt Moody,"P.O. Box 726, 7322 Tellus Avenue","P.O. Box 726, 7322 Tellus Avenue",,,Houston,'923619,,CD,+39471628910,,"",,"","",0.00,DR MARTENS,0.20,,,,6280249049248,egnition-sample-data,Low,1608003,0.00,,,,,,,,,,,,,,,,,,,
#1014,egnition_sample_20250421145354_2@egnition.com,,,,,,,,,,,,,,2025-04-21 10:27:22 +0530,1,CONVERSE | CHUCK TAYLOR ALL STAR LO - 3 / white,0.10,"",C-01-3-white,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,CONVERSE,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1013,egnition_sample_20250421145354_2@egnition.com,refunded,,unfulfilled,,no,INR,0.20,0.00,0.00,0.20,"",0.00,"",2025-04-21 10:27:15 +0530,1,CONVERSE | TODDLER CHUCK TAYLOR ALL STAR AXEL MID - 9 / black,0.10,,C-03-9-black,true,true,pending,Colt Moody,"P.O. Box 726, 7322 Tellus Avenue","P.O. Box 726, 7322 Tellus Avenue",,,Houston,'923619,,CD,+39471628910,Colt Moody,"P.O. Box 726, 7322 Tellus Avenue","P.O. Box 726, 7322 Tellus Avenue",,,Houston,'923619,,CD,+39471628910,,"",,"","",0.00,CONVERSE,0.20,,,,6280249016480,egnition-sample-data,Low,1608003,0.00,,,,,,,,,,,,,,,,,,,
#1013,egnition_sample_20250421145354_2@egnition.com,,,,,,,,,,,,,,2025-04-21 10:27:15 +0530,1,DR MARTENS | CAVENDISH 3-EYE SHOE BLACK - 4 / black,0.10,"",DM-02-4-black,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,DR MARTENS,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1012,egnition_sample_20250421145354_2@egnition.com,pending,,unfulfilled,,no,INR,0.10,0.00,0.00,0.10,"",0.00,"",2025-04-21 10:26:29 +0530,1,VANS | SH-8 HI - 4 / black,0.10,,VN-07-4-black,true,true,pending,Colt Moody,"P.O. Box 726, 7322 Tellus Avenue","P.O. Box 726, 7322 Tellus Avenue",,,Houston,'923619,,CD,+39471628910,Colt Moody,"P.O. Box 726, 7322 Tellus Avenue","P.O. Box 726, 7322 Tellus Avenue",,,Houston,'923619,,CD,+39471628910,,"",,"","",0.00,VANS,0.10,,,,6280248459424,egnition-sample-data,Low,1608003,0.00,,,,,,,,,,,,,,,,,,,
#1011,egnition_sample_20250421145354_1@egnition.com,pending,,unfulfilled,,no,INR,0.10,0.00,0.00,0.10,"",0.00,"",2025-04-21 10:26:23 +0530,1,VANS |AUTHENTIC | LO PRO | BURGANDY/WHITE - 4 / burgandy,0.10,,VN-01-4-burgandy,true,true,pending,Chase Vazquez,"P.O. Box 298, 3731 Augue Rd.","P.O. Box 298, 3731 Augue Rd.",,,Milwaukee,'8519,,BA,+38733585418,Chase Vazquez,"P.O. Box 298, 3731 Augue Rd.","P.O. Box 298, 3731 Augue Rd.",,,Milwaukee,'8519,,BA,+38733585418,,"",,"","",0.00,VANS,0.10,,,,6280248361120,egnition-sample-data,Low,1608003,0.00,,,,,,,,,,,,,,,,,,,
#1010,egnition_sample_20250421145354_2@egnition.com,refunded,,unfulfilled,,no,INR,0.30,0.00,0.00,0.30,"",0.00,"",2025-04-21 10:26:18 +0530,1,NIKE | CRACKLE PRINT TB TEE - s / blue,0.10,,NK-01-s-blue,true,true,pending,Colt Moody,"P.O. Box 726, 7322 Tellus Avenue","P.O. Box 726, 7322 Tellus Avenue",,,Houston,'923619,,CD,+39471628910,Colt Moody,"P.O. Box 726, 7322 Tellus Avenue","P.O. Box 726, 7322 Tellus Avenue",,,Houston,'923619,,CD,+39471628910,,"",,"","",0.00,NIKE,0.30,,,,6280248262816,egnition-sample-data,Low,1608003,0.00,,,,,,,,,,,,,,,,,,,
#1010,egnition_sample_20250421145354_2@egnition.com,,,,,,,,,,,,,,2025-04-21 10:26:18 +0530,1,PALLADIUM | PALLATECH HI TX | CHEVRON - 12 / red,0.10,"","PAL-01
-12-red",true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,PALLADIUM,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1010,egnition_sample_20250421145354_2@egnition.com,,,,,,,,,,,,,,2025-04-21 10:26:18 +0530,1,FLEX FIT | MINI OTTOMAN BLACK - m / black,0.10,"",FF-01-m-black,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,FLEX FIT,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1009,egnition_sample_20250421145354_1@egnition.com,paid,,unfulfilled,,no,INR,0.10,0.00,0.00,0.10,"",0.00,"",2025-04-21 10:26:12 +0530,1,"VANS | 
ERA 59 MOROCCAN | GEO/DRESS BLUES - 13 / blue",0.10,,VN-04-13-blue,true,true,pending,Chase Vazquez,"P.O. Box 298, 3731 Augue Rd.","P.O. Box 298, 3731 Augue Rd.",,,Milwaukee,'8519,,BA,+38733585418,Chase Vazquez,"P.O. Box 298, 3731 Augue Rd.","P.O. Box 298, 3731 Augue Rd.",,,Milwaukee,'8519,,BA,+38733585418,,"",,"","",0.00,VANS,0.10,,,,6280248230048,egnition-sample-data,Low,1608003,0.00,,,,,,,,,,,,,,,,,,,
#1008,egnition_sample_20250421145354_2@egnition.com,paid,,unfulfilled,,no,INR,0.10,0.00,0.00,0.10,"",0.00,"",2025-04-21 10:25:25 +0530,1,"VANS | 
ERA 59 MOROCCAN | GEO/DRESS BLUES - 10 / blue",0.10,,VN-04-10-blue,true,true,pending,Colt Moody,"P.O. Box 726, 7322 Tellus Avenue","P.O. Box 726, 7322 Tellus Avenue",,,Houston,'923619,,CD,+39471628910,Colt Moody,"P.O. Box 726, 7322 Tellus Avenue","P.O. Box 726, 7322 Tellus Avenue",,,Houston,'923619,,CD,+39471628910,,"",,"","",0.00,VANS,0.10,,,,6280247705760,egnition-sample-data,Low,1608003,0.00,,,,,,,,,,,,,,,,,,,
#1007,egnition_sample_20250421145354_2@egnition.com,paid,,unfulfilled,,no,INR,0.20,0.00,0.00,0.20,"",0.00,"",2025-04-21 10:25:20 +0530,1,VANS | SH-8 HI - 9 / black,0.10,,VN-07-9-black,true,true,pending,Colt Moody,"P.O. Box 726, 7322 Tellus Avenue","P.O. Box 726, 7322 Tellus Avenue",,,Houston,'923619,,CD,+39471628910,Colt Moody,"P.O. Box 726, 7322 Tellus Avenue","P.O. Box 726, 7322 Tellus Avenue",,,Houston,'923619,,CD,+39471628910,,"",,"","",0.00,VANS,0.20,,,,6280247574688,egnition-sample-data,Low,1608003,0.00,,,,,,,,,,,,,,,,,,,
#1007,egnition_sample_20250421145354_2@egnition.com,,,,,,,,,,,,,,2025-04-21 10:25:20 +0530,1,HERSCHEL | IONA - OS / black,0.10,"",H-01-OS-black,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,HERSCHEL,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1006,egnition_sample_20250421145354_2@egnition.com,pending,,unfulfilled,,no,INR,0.30,0.00,0.00,0.30,"",0.00,"",2025-04-21 10:25:14 +0530,1,VANS | OLD SKOOL (BUTTERFLY) TRUE WHITE | BLACK - 9 / white,0.10,,VN-08-9-white,true,true,pending,Colt Moody,"P.O. Box 726, 7322 Tellus Avenue","P.O. Box 726, 7322 Tellus Avenue",,,Houston,'923619,,CD,+39471628910,Colt Moody,"P.O. Box 726, 7322 Tellus Avenue","P.O. Box 726, 7322 Tellus Avenue",,,Houston,'923619,,CD,+39471628910,,"",,"","",0.00,VANS,0.30,,,,6280247410848,egnition-sample-data,Low,1608003,0.00,,,,,,,,,,,,,,,,,,,
#1006,egnition_sample_20250421145354_2@egnition.com,,,,,,,,,,,,,,2025-04-21 10:25:14 +0530,1,DR MARTENS | CAVENDISH 3-EYE SHOE BLACK - 9 / black,0.10,"",DM-02-9-black,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,DR MARTENS,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1006,egnition_sample_20250421145354_2@egnition.com,,,,,,,,,,,,,,2025-04-21 10:25:14 +0530,1,ADIDAS | KID'S STAN SMITH - 1 / white,0.10,"",AD-02-1-white,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,ADIDAS,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1005,egnition_sample_20250421145354_2@egnition.com,pending,,unfulfilled,,no,INR,0.20,0.00,0.00,0.20,"",0.00,"",2025-04-21 10:25:08 +0530,1,VANS | OLD SKOOL (BUTTERFLY) TRUE WHITE | BLACK - 5 / white,0.10,,VN-08-5-white,true,true,pending,Colt Moody,"P.O. Box 726, 7322 Tellus Avenue","P.O. Box 726, 7322 Tellus Avenue",,,Houston,'923619,,CD,+39471628910,Colt Moody,"P.O. Box 726, 7322 Tellus Avenue","P.O. Box 726, 7322 Tellus Avenue",,,Houston,'923619,,CD,+39471628910,,"",,"","",0.00,VANS,0.20,,,,6280247345312,egnition-sample-data,Low,1608003,0.00,,,,,,,,,,,,,,,,,,,
#1005,egnition_sample_20250421145354_2@egnition.com,,,,,,,,,,,,,,2025-04-21 10:25:08 +0530,1,DR MARTENS | 1461 DMC 3-EYE SHOE | BLACK SMOOTH - 11 / black,0.10,"",DM-01-11-black,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,DR MARTENS,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1004,egnition_sample_20250421145354_2@egnition.com,paid,,unfulfilled,,no,INR,0.20,0.00,0.00,0.20,"",0.00,"",2025-04-21 10:24:22 +0530,1,TIMBERLAND | MENS 6 INCH PREMIUM BOOT - 8 / yellow,0.10,,TM-01-8-yellow,true,true,pending,Colt Moody,"P.O. Box 726, 7322 Tellus Avenue","P.O. Box 726, 7322 Tellus Avenue",,,Houston,'923619,,CD,+39471628910,Colt Moody,"P.O. Box 726, 7322 Tellus Avenue","P.O. Box 726, 7322 Tellus Avenue",,,Houston,'923619,,CD,+39471628910,,"",,"","",0.00,TIMBERLAND,0.20,,,,6280246821024,egnition-sample-data,Low,1608003,0.00,,,,,,,,,,,,,,,,,,,
#1004,egnition_sample_20250421145354_2@egnition.com,,,,,,,,,,,,,,2025-04-21 10:24:22 +0530,1,DR MARTENS | CAVENDISH 3-EYE SHOE BLACK - 6 / black,0.10,"",DM-02-6-black,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,DR MARTENS,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1003,egnition_sample_20250421145354_2@egnition.com,pending,,unfulfilled,,no,INR,0.10,0.00,0.00,0.10,"",0.00,"",2025-04-21 10:24:16 +0530,1,DR MARTENS | CAVENDISH 3-EYE SHOE BLACK - 9 / black,0.10,,DM-02-9-black,true,true,pending,Colt Moody,"P.O. Box 726, 7322 Tellus Avenue","P.O. Box 726, 7322 Tellus Avenue",,,Houston,'923619,,CD,+39471628910,Colt Moody,"P.O. Box 726, 7322 Tellus Avenue","P.O. Box 726, 7322 Tellus Avenue",,,Houston,'923619,,CD,+39471628910,,"",,"","",0.00,DR MARTENS,0.10,,,,6280246689952,egnition-sample-data,Low,1608003,0.00,,,,,,,,,,,,,,,,,,,
#1002,egnition_sample_20250421145354_2@egnition.com,pending,,unfulfilled,,no,INR,0.20,0.00,0.00,0.20,"",0.00,"",2025-04-21 10:24:10 +0530,1,CONVERSE | TODDLER CHUCK TAYLOR ALL STAR AXEL MID - 5 / black,0.10,,C-03-5-black,true,true,pending,Colt Moody,"P.O. Box 726, 7322 Tellus Avenue","P.O. Box 726, 7322 Tellus Avenue",,,Houston,'923619,,CD,+39471628910,Colt Moody,"P.O. Box 726, 7322 Tellus Avenue","P.O. Box 726, 7322 Tellus Avenue",,,Houston,'923619,,CD,+39471628910,,"",,"","",0.00,CONVERSE,0.20,,,,6280246624416,egnition-sample-data,Low,1608003,0.00,,,,,,,,,,,,,,,,,,,
#1002,egnition_sample_20250421145354_2@egnition.com,,,,,,,,,,,,,,2025-04-21 10:24:10 +0530,1,VANS | CLASSIC SLIP-ON (PERFORATED SUEDE) - 5 / beige,0.10,"",VN-09-5-beige,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,VANS,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1001,egnition_sample_20250421145354_2@egnition.com,pending,,unfulfilled,,no,INR,0.20,0.00,0.00,0.20,"",0.00,"",2025-04-21 10:24:04 +0530,1,PALLADIUM | PALLATECH HI TX | CHEVRON - 12 / red,0.10,,"PAL-01
-12-red",true,true,pending,Colt Moody,"P.O. Box 726, 7322 Tellus Avenue","P.O. Box 726, 7322 Tellus Avenue",,,Houston,'923619,,CD,+39471628910,Colt Moody,"P.O. Box 726, 7322 Tellus Avenue","P.O. Box 726, 7322 Tellus Avenue",,,Houston,'923619,,CD,+39471628910,,"",,"","",0.00,PALLADIUM,0.20,,,,6280246558880,egnition-sample-data,Low,1608003,0.00,,,,,,,,,,,,,,,,,,,
#1001,egnition_sample_20250421145354_2@egnition.com,,,,,,,,,,,,,,2025-04-21 10:24:04 +0530,1,FLEX FIT | MINI OTTOMAN BLACK - xl / black,0.10,"",FF-01-xl-black,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,FLEX FIT,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
